year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Banking,3991132,1259089,0,0,0,44638,187599,0,3753225,3027351,0,0,0,0,237906,716458,0,716458,58755,58755,32474,56445
1993,Banking,6053068,2009107,0,0,0,105820,246601,0,5731469,5148827,0,0,0,0,321599,737673,0,737673,443847,141871,53667,94983
1994,Banking,8591818,2555480,0,0,0,327667,254036,0,7892665,7047220,0,0,0,0,699153,932838,0,932838,581359,214499,61338,144301
1995,Banking,10808896,3343855,0,0,0,84821,261549,0,9945162,8540692,0,0,0,0,863734,1427147,0,1427147,718966,296481,79097,182414
1996,Banking,13192129,3620802,0,0,0,111613,337811,0,12176412,9543057,0,0,0,0,1015717,1677356,0,1677356,421479,302281,96768,170656
1997,Banking,16440738,4036503,0,0,0,514816,369522,0,15311653,10762255,0,0,0,0,1129085,1669569,0,1669569,747178,165323,34146,130894
1998,Banking,15598774,2826339,0,0,0,384312,564905,0,14337824,10146137,0,0,0,0,1260950,1737277,0,1737277,723708,89976,0,96928
1999,Banking,21058770,3978979,0,0,0,351168,976999,0,19418295,13141734,0,0,0,0,1640474,1884717,0,1884717,774725,-6882,0,18542
2000,Banking,20938833,3590909,0,0,0,276775,933642,0,18850966,12311510,0,0,0,0,2087866,1978342,0,1978342,871023,38526,0,50914
2001,Banking,19310762,3199203,457344,0,0,282598,883600,0,17580028,12501183,0,3141382,622905,0,1730734,1785384,0,1785384,-96495,-105208,-1319,-80539
2002,Banking,14654106,1953676,483312,0,0,449079,842697,0,12879721,10063749,0,981918,572681,0,1774385,1393875,0,1393875,47581,28523,0,42997
2003,Banking,14112774,2754077,398968,0,0,261844,793443,75881,12883461,9824666,0,1521762,579323,0,1229313,1101460,0,1101460,25715,-12729,0,11719
2004,Banking,13306309,2526878,371967,0,0,460114,719355,50631,12190410,9512829,0,1509160,457052,0,1115899,971054,0,971054,40826,46244,0,12718
2005,Banking,14805784,3562433,403006,0,0,1830204,666001,33598,13658038,10863774,0,1331444,654837,0,1147746,1079278,0,1079278,110611,104989,0,72986
2006,Banking,16436987,3412642,475084,145650,0,2335473,679082,0,14874314,12811824,125786,186625,542625,542625,1562673,1468778,0,1468778,359178,331709,0,319238
2007,Banking,20174754,3412518,498071,353997,0,4167694,583292,0,18191120,15159699,230741,1063282,606888,606888,1983635,1734584,0,1734584,552019,689397,119755,541623
2008,Banking,25939203,5377967,549238,935029,0,2899817,494937,0,23318696,17937958,876573,1569995,1604742,1604742,2620507,2109152,0,2109152,699406,919644,244287,632501
2009,Banking,25561763,4096539,560300,522291,0,3941121,480816,0,22267056,18747104,299502,0,1608094,1608094,3294708,2108875,0,2108875,850210,968018,220400,708952
2010,Banking,29228520,8345260,618341,291284,0,1803371,436258,7672,25560214,19038242,245585,1516917,2704299,2704298,3668306,1893691,0,1893691,816618,0,246689,723828
2011,Banking,29629758,7039833,662519,455685,0,1647256,421621,12328,25581040,19453269,277195,459555,3595103,3595103,4048718,2119856,0,2119856,976393,1047256,257595,789661
2012,Banking,32144036,7239401,810245,498847,0,1392776,407355,13225,27388883,18975381,363043,666388,4540491,4540490,4755153,2502918,0,2502918,1100999,1136531,291484,845048
2013,Banking,41423375,10823609,1031725,593446,0,1385579,405417,16671,36306452,27979594,356834,0,0,0,5116923,2229409,0,2229409,1129538,0,286114,864769
2014,Banking,44039697,10117530,1205093,831278,0,287384,394772,19371,38377085,26809820,351536,0,0,0,5662612,2373162,0,2373162,1222975,0,335962,953246
